,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ridge__alpha,param_preprocessor__num__smoother__kw_args,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.02571878433227539,0.006673326225859599,0.00903635025024414,0.0008232605812887743,0.4281332398719387,{'span': 13},"{'ridge__alpha': 0.4281332398719387, 'preprocessor__num__smoother__kw_args': {'span': 13}}",0.0513273898604801,0.03986466093922275,0.03979009311109207,0.0728359096972727,0.03682631496250439,0.04812887371411441,0.013313515250896444,6,0.08831641546262277,0.09158357376685253,0.0954909196740224,0.08180359721307948,0.0932496359092805,0.09008882840517154,0.004758026090651935
1,0.020201873779296876,0.0007290654495051064,0.009359788894653321,0.0018501288645044985,5.455594781168515e-07,{'span': 17},"{'ridge__alpha': 5.455594781168515e-07, 'preprocessor__num__smoother__kw_args': {'span': 17}}",0.053756285228146454,0.04145551151910884,0.04123141668528821,0.06347591351397716,0.03741169543690859,0.04746616447668585,0.009715658083481652,8,0.08917431414799643,0.09288669915700012,0.09655670708742849,0.08508655260700737,0.09374709138542324,0.09149027287697113,0.003977016215073787
2,0.02069234848022461,0.0018751834745701322,0.008669424057006835,0.0012212164961635187,0.0026366508987303553,{'span': 4},"{'ridge__alpha': 0.0026366508987303553, 'preprocessor__num__smoother__kw_args': {'span': 4}}",0.05589860877089011,0.044069830380826576,0.043582867041021156,0.06482241260409698,0.04245149461139192,0.050165042681645344,0.0088055408253158,1,0.08951506445482307,0.09268912379302838,0.09680827897330578,0.08656960992561426,0.09446193949776004,0.0920088033289063,0.003614394497244456
3,0.021001434326171874,0.0016645834423865795,0.008998394012451172,0.002157049184579529,0.01438449888287663,{'span': 16},"{'ridge__alpha': 0.01438449888287663, 'preprocessor__num__smoother__kw_args': {'span': 16}}",0.05288290497528608,0.040581258840041996,0.04159556399904729,0.06366199949577966,0.037008980436734513,0.04714614154937791,0.009821941252764864,10,0.08932970446647671,0.0926494532593499,0.09638819213950067,0.08478310159863299,0.09345077221905544,0.09132024473660315,0.003967027211962838
4,0.02190365791320801,0.0012690028293864902,0.008477544784545899,0.001005045647070553,0.03359818286283781,{'span': 8},"{'ridge__alpha': 0.03359818286283781, 'preprocessor__num__smoother__kw_args': {'span': 8}}",0.05422850797777881,0.04372145638679487,0.042540963698433874,0.065357300300613,0.038353585288577165,0.04884036273043954,0.009774451057098045,3,0.08953497376122803,0.09271661483867462,0.09657956829600657,0.08568891625972282,0.09380182670100852,0.0916643799713281,0.003743674408429803
5,0.02091693878173828,0.0006325201856867131,0.009247541427612305,0.0012765675438584625,0.0004832930238571752,{'span': 18},"{'ridge__alpha': 0.0004832930238571752, 'preprocessor__num__smoother__kw_args': {'span': 18}}",0.05391116546368477,0.041366801174480494,0.042005370353692145,0.06338603405676731,0.03790952095468687,0.04771577840066231,0.009518620595092361,7,0.08916038857778552,0.09289971645425067,0.09654720685186155,0.08507309300198476,0.09377230974390859,0.09149054292595822,0.003984353466169554
6,0.022031593322753906,0.0028766176959723307,0.008334016799926758,0.0004727569198138666,1.2742749857031322e-06,{'span': 10},"{'ridge__alpha': 1.2742749857031322e-06, 'preprocessor__num__smoother__kw_args': {'span': 10}}",0.05335460345465738,0.04325814775283111,0.04138352598720424,0.06514648355542962,0.03873707238356943,0.04837596662673836,0.009736854123117556,5,0.08947760031961426,0.09263503454301497,0.09648876066782874,0.08552780048686334,0.09353975269591516,0.0915337897426473,0.003744013521172131
7,0.020743513107299806,0.0006778552681814628,0.00937480926513672,0.0014990791867067724,8.858667904100833e-05,{'span': 6},"{'ridge__alpha': 8.858667904100833e-05, 'preprocessor__num__smoother__kw_args': {'span': 6}}",0.05515982646973411,0.044245838040701,0.043304957248848336,0.06569102610476915,0.040038310385413174,0.049687991649893154,0.009481715041453133,2,0.08956553032488761,0.0928091969292345,0.09667714597275796,0.08619403602311401,0.09411787254279731,0.09187275635855828,0.0036488569116041314
8,0.02167515754699707,0.001757104783913002,0.008294820785522461,0.0005432318641598483,1e-07,{'span': 15},"{'ridge__alpha': 1e-07, 'preprocessor__num__smoother__kw_args': {'span': 15}}",0.05293478298017577,0.041208453381822455,0.04175504888833594,0.06377742572506083,0.03694593417790988,0.04732432903066097,0.00978073085541423,9,0.08920825648684517,0.0926568096841372,0.09636739939574006,0.08495473394880254,0.09341105570712195,0.09131965104452938,0.0039143808379113075
9,0.020537519454956056,0.0007737619184668557,0.008160877227783202,0.0004737707341576322,5.455594781168515e-07,{'span': 8},"{'ridge__alpha': 5.455594781168515e-07, 'preprocessor__num__smoother__kw_args': {'span': 8}}",0.05429681911774733,0.043819398673390714,0.04256645125036431,0.06521247525823659,0.03826268905498498,0.048831566670944786,0.009739382154762471,4,0.08955688791211305,0.09277080700426678,0.09660231738939931,0.08576954842674041,0.0938200353602206,0.09170391921854804,0.0037265802510621864
