,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocessor__num__pca__n_components,param_logistic__penalty,param_logistic__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.020559263229370118,0.005747339368806932,1.5809176921844483,2.5031690354703398,10,l1,0.037926901907322536,"{'preprocessor__num__pca__n_components': 10, 'logistic__penalty': 'l1', 'logistic__C': 0.037926901907322536}",0.0,0.05403411141612609,0.07540323079091414,0.030939923626855537,0.06444655001195598,0.04496476316917035,0.026858218326685394,7,0.0920725304979447,0.08154978046970653,0.0725322058520856,0.07506952444201279,0.08296590892795862,0.08083799003794165,0.006833898302464268
1,0.02286524772644043,0.002098248872958291,0.35184855461120607,0.02978277612395503,8,l2,1000.0,"{'preprocessor__num__pca__n_components': 8, 'logistic__penalty': 'l2', 'logistic__C': 1000.0}",0.0943213605084331,0.04500674467271237,0.06003164106561105,0.03388626798287745,0.06746300551232996,0.06014180394839278,0.020689501699926765,4,0.07946048342614045,0.09230097793046706,0.09437272746747388,0.09212216788172993,0.10022497706142439,0.09169626675344715,0.006784744689118486
2,0.022890615463256835,0.0035350528994173465,0.33262200355529786,0.0071403838630417875,3,l1,183.29807108324357,"{'preprocessor__num__pca__n_components': 3, 'logistic__penalty': 'l1', 'logistic__C': 183.29807108324357}",0.05415996340798436,0.0325978735932726,0.056463755149391955,0.0,0.08810166317851767,0.046264651065833315,0.029133801702943222,6,0.0438109010084641,0.04568784446177842,0.0709548112887703,0.06227018715901509,0.05956622152529998,0.05645799308866558,0.010291214324684243
3,0.016739606857299805,0.0019354085833122496,0.3496093273162842,0.019132981391188884,5,l2,78.47599703514615,"{'preprocessor__num__pca__n_components': 5, 'logistic__penalty': 'l2', 'logistic__C': 78.47599703514615}",0.03193700400060803,0.02391178604845204,0.037851903278948044,0.019914760448425307,0.09003025272165746,0.040729141299618174,0.02542534818728348,8,0.07035915947441164,0.05921852082663724,0.07149864131049044,0.07301322391346564,0.06299558538879238,0.06741702618275947,0.005355329834227812
4,0.022641324996948244,0.006198966301945952,0.34692673683166503,0.00789287689550765,5,l1,0.01623776739188724,"{'preprocessor__num__pca__n_components': 5, 'logistic__penalty': 'l1', 'logistic__C': 0.01623776739188724}",0.0372095521440905,0.06044566579504816,0.08769354004093305,0.035120409959089424,0.09957998316884936,0.0640098302216021,0.026045002083671928,3,0.07426256273425587,0.06846632055809464,0.08378875673177454,0.07963127387197191,0.057023660739815754,0.07263451492718255,0.009349811745555494
5,0.010163974761962891,0.0008942915882631225,0.019175386428833006,0.0014461009105444906,4,l1,0.0002335721469090126,"{'preprocessor__num__pca__n_components': 4, 'logistic__penalty': 'l1', 'logistic__C': 0.0002335721469090126}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.012377691268920899,0.0021643103325883458,0.020400810241699218,0.0006749735396494016,4,l1,0.002976351441631319,"{'preprocessor__num__pca__n_components': 4, 'logistic__penalty': 'l1', 'logistic__C': 0.002976351441631319}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.01604299545288086,0.001342052708586001,0.3435224533081055,0.022332097242825855,9,l2,0.002976351441631319,"{'preprocessor__num__pca__n_components': 9, 'logistic__penalty': 'l2', 'logistic__C': 0.002976351441631319}",0.0407627264678004,0.08588784970881914,0.055143344219654306,0.055756943964849405,0.04224855134792008,0.055959883141808664,0.016219403771368966,5,0.09086536777492711,0.07997735509916867,0.07209615640962862,0.09199393085061938,0.0915609289823959,0.08529874782334794,0.007970612108053953
8,0.1690549373626709,0.11734922082810986,0.5154314041137695,0.29633292406948364,6,l1,6.158482110660267,"{'preprocessor__num__pca__n_components': 6, 'logistic__penalty': 'l1', 'logistic__C': 6.158482110660267}",0.08043223831408816,0.0563054506090597,0.055756943964849405,0.09202777190001708,0.07524261317873383,0.07195300359334963,0.014091653821508,2,0.08188382226647835,0.07773238409776656,0.08863424416773981,0.08046464702093095,0.09242788899056877,0.08422859730869688,0.005449847450713792
9,0.02154240608215332,0.0013798628839169602,0.4164231300354004,0.06666161429545453,6,l2,1.1288378916846895,"{'preprocessor__num__pca__n_components': 6, 'logistic__penalty': 'l2', 'logistic__C': 1.1288378916846895}",0.0763650632657021,0.058477628442960415,0.05782741611427036,0.10834759374088745,0.08637013826486152,0.07747756796573638,0.018870082852207037,1,0.08144008785702099,0.07822514212589844,0.08909519169772524,0.08095176724600664,0.0928875926395768,0.08451995631324563,0.005527971872098666
